Unnamed: 0,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,instant_bookable,area_sqmiles,NatWalkInd,host_response_time_ord,safety_amenities_count,convenience_amenities_count,room_type_Hotel room,room_type_Private room,room_type_Shared room,is_unique_stay,population_per_sqmile,crime_per_1000,host_years,price_per_person,log_dist_km_downtown,log_dist_km_airport,source_city_OAK,source_city_SD,source_city_SF,listing_age_years,reviews_per_year,stratify_col
56,1.0,0.96,1.0,8.0,1.0,1.0,37.83837,-122.28464,2,1.0,1.0,1.0,3,730,241,4.95,0.0,0.1576608462,15.25,0.0,4,5,0,0,0,0,17455.189835204626,62.13662790697674,12.72,78.5,1.6020691142543564,2.718989264924477,1,0,0,12.169863013698633,19.803016659162537,OAK_Entire home/apt
57,0.0,0.0,0.0,2.0,1.0,1.0,37.84902,-122.24184,1,1.0,1.0,1.0,14,1125,11,4.64,0.0,0.7015541247,13.611111113333331,3.0,1,2,0,1,0,0,5003.177768359574,57.83475783475783,12.32,80.0,1.8860309167778773,2.728599405083186,1,0,0,12.202739726027398,0.9014369106421194,OAK_Private room
58,1.0,0.96,1.0,1.0,1.0,1.0,37.83123,-122.25309,2,2.0,1.0,1.0,2,1125,174,4.93,0.0,0.2197993941,17.416666665,2.0,2,6,0,1,0,0,14353.997711952748,174.6434231378764,12.22,27.5,1.477604885972332,2.605533660863607,1,0,0,12.167123287671233,14.300833145687909,OAK_Private room
59,1.0,0.57,0.0,2.0,1.0,1.0,37.8038,-122.22456,2,1.0,2.0,2.0,7,1125,48,4.83,0.0,0.3904181424,15.708333335,0.0,4,4,0,0,0,0,12289.387912419925,95.66486035848273,12.92,74.5,1.6278335288347172,2.3193882155856267,1,0,0,12.07123287671233,3.976395823876531,OAK_Entire home/apt
60,0.75,0.5,0.0,1.0,1.0,1.0,37.80127,-122.27535,3,0.0,1.0,0.0,5,365,10,5.0,0.0,0.1339195572,19.0,2.0,3,7,0,0,0,0,16233.625957658109,347.2861085556578,12.2,31.666666666666668,0.4086901453260856,2.4062963306793805,1,0,0,4.049315068493151,2.469553450608931,OAK_Entire home/apt
61,1.0,0.93,0.0,2.0,1.0,1.0,37.84068,-122.21211,5,1.0,2.0,3.0,1,1125,687,4.78,1.0,1.6033509063,9.277777777666666,0.0,4,5,0,0,0,0,3528.235757856945,43.83949089623476,12.17,21.0,2.0244779536655395,2.65932065839861,1,0,0,11.942465753424658,57.52580867171369,OAK_Entire home/apt
62,1.0,1.0,0.0,2.0,1.0,1.0,37.83197,-122.26973,2,0.0,1.0,0.0,3,70,209,4.77,0.0,0.4436748459,14.805555556666668,1.0,4,6,0,0,0,0,14715.731712839932,136.77439117782205,12.16,50.75,1.404279998840237,2.640870662585233,1,0,0,11.665753424657536,17.915688116486614,OAK_Entire home/apt
63,-1.0,0.5,0.0,1.0,1.0,1.0,37.80413,-122.21065,2,1.0,1.0,1.0,10,60,33,4.97,0.0,0.2426275566,14.083333335,-1.0,4,6,0,0,0,0,10806.68674549064,120.13729977116704,12.15,75.0,1.8428468429863096,2.3266628202232336,1,0,0,11.936986301369863,2.764516869405554,OAK_Entire home/apt
64,1.0,0.99,1.0,7.0,1.0,0.0,37.85769,-122.23717,8,2.0,2.0,2.0,2,730,289,4.87,0.0,2.6817946155,10.16666667,0.0,2,6,0,0,0,0,1153.7050533689537,31.351001939237232,12.27,19.125,2.0331644328733733,2.786476431063936,1,0,0,12.10958904109589,23.865384615384613,OAK_Entire home/apt
65,0.9,0.55,1.0,31.0,1.0,1.0,37.81702,-122.23675,2,1.0,1.0,2.0,30,1125,20,4.83,0.0,0.2519951148,16.166666665,1.0,2,4,0,0,0,0,15857.450265143,208.45845845845844,12.32,125.0,1.4662582899050842,2.4617457988860627,1,0,0,11.805479452054794,1.6941285681132514,OAK_Entire home/apt
66,0.94,0.99,1.0,15.0,1.0,1.0,37.82953,-122.27458,2,1.0,1.0,1.0,2,60,264,4.81,0.0,0.4436748459,14.805555556666668,0.0,4,5,0,0,0,0,14715.731712839932,136.77439117782205,13.01,43.0,1.3389525078308575,2.6332786225521945,1,0,0,12.065753424657537,21.88010899182561,OAK_Entire home/apt
67,1.0,0.98,1.0,2.0,1.0,1.0,37.81646,-122.25047,2,1.0,1.0,1.0,1,1125,221,4.81,0.0,0.19038591,16.222222220000003,0.0,3,5,0,0,0,0,20295.61956554453,74.53416149068323,12.1,69.5,1.18172257639168,2.475497798769515,1,0,0,11.854794520547944,18.64224636006471,OAK_Entire home/apt
68,1.0,0.75,1.0,3.0,1.0,1.0,37.75141,-122.18616,1,2.0,1.0,1.0,1,28,234,4.85,0.0,0.3230155071,14.666666666666666,1.0,3,6,0,1,0,0,13937.411365845848,135.93958240781876,12.26,63.0,2.3523631944239556,1.7085256357372534,1,0,0,11.169863013698633,20.94922737306843,OAK_Private room
69,1.0,0.99,1.0,4.0,1.0,0.0,37.85281,-122.25686,2,1.0,1.0,1.0,2,14,848,4.89,0.0,0.2765008818,17.61111111,0.0,4,5,0,1,0,0,15895.066848933284,76.45051194539249,12.42,44.5,1.876630498808147,2.7696047178355903,1,0,0,11.947945205479453,70.97454712221968,OAK_Private room
70,1.0,0.95,1.0,1.0,1.0,1.0,37.80495,-122.27605,1,1.0,1.0,1.0,2,90,465,4.91,0.0,0.1339195572,19.0,0.0,3,6,0,1,0,0,16233.625957658109,347.2861085556578,12.67,69.0,0.3620928424151873,2.440869522258755,1,0,0,11.942465753424658,38.936682725395734,OAK_Private room
71,1.0,0.96,1.0,8.0,1.0,1.0,37.83807,-122.28293,2,1.0,1.0,1.0,3,1125,20,4.8,0.0,0.1576608462,15.25,0.0,4,5,0,0,0,0,17455.189835204626,62.13662790697674,12.72,78.5,1.5869488517039425,2.7130651817785902,1,0,0,11.904109589041097,1.680092059838895,OAK_Entire home/apt
